skill_id,title,text,tag1,tag2,tag3
43,What a token is ,"The cryptocurrency market is filled with thousands (if not tens of thousands) of coins. With everything from dog coins to lending protocol based coins, there’s something for every kind of investor. These coins can often be referred to as tokens, but there are some major differences between the two concepts - let’s dive in. <br/><br/> While a coin is something that is often used as a medium of exchange. Whether this be a peer-to-peer (p2p) transaction at a coffee shop or something more complicated like receiving a paycheck, currencies are everywhere and a major part of our lives. Bitcoin - the most renowned cryptocurrency - was created as a solution for digital p2p payments. While this hasn’t caught on a global scale (partially due to the vast innovations in crypto as a whole), Bitcoin was able to provide a new way to exchange money. Other examples of coins include Ethereum, Litecoin and Monero, each possessing different functionality and capabilities. <br/><br/> A token is something that’s a little different, with the definition changing over time as crypto has evolved. Primarily, a token is an asset that has been built overtop an existing blockchain. Tokens can be used with decentralized apps (dApps) like Uniswap or Compound and their respective tokens, UNI and COMP. These tokens possess unique functionality, some of these being governance and yield generation. <br/><br/> Where coins are sometimes limited in functionality - see Dogecoin - a token is something much more interesting or engaging to the web3 native. The burgeoning landscape of dApps has changed finance forever, sparking the movement known as decentralized finance (commonly referred to as DeFi). There are even non-fungible tokens (NFTs) which represent digital ownership on the blockchain - whether this be something as simple as a picture of your dog or a new song from an artist. Hopefully you’re seeing the vast differences between these assets and all that is possible with the innovations in crypto. <br/><br/> Despite the relative youth of the crypto space as a whole, recent DeFi protocols have been able to change the perception of what tokens can do. Just look at the recent shift in interest towards Curve Finance, thanks to their vote escrow tokenomics which provide significant value to token holders. <br/><br/> Tokens can even serve as in-game currencies, especially in games like DeFi Kingdoms and The Sandbox. As more users flock to crypto to experience these play-to-earn games, expect more unique token uses in crypto. <br/><br/> While most of us might be in crypto to see coins go up in price, there is no shortage of impressive tokens to get your hands on in the meantime. So get out there and interact with different ecosystems - you might be surprised with all the unique tokens you find! ",skill,defi virgin,trading
44,Anime HW LOL,,skill,defi virgin,culture
45,"K-pop, J-pop etc",,skill,defi virgin,culture
46,How to identify and assess the technical qualities of tokens,,skill,defi enjoyer,technology
47,"What a ‘public ledger’ is and, technically, how does it function",,skill,defi enjoyer,technology
48,"What ‘proof of work’ means and, technically,  how is it established",,skill,defi enjoyer,technology
49,"What ‘proof of stake’ means and, technically, how is it established",,skill,defi enjoyer,technology
50,How to assess the technical security of a DeFi system,,skill,defi enjoyer,security
51,How to perform network segmentation on your home network to protect yourself when trading,,skill,defi enjoyer,security
52,How to swap tokens on a DEX,"There are currently a variety of ways to buy cryptocurrencies for the average user. One could turn to a centralized exchange (CEX) - like Binance or FTX - or choose to dive into the murky waters of decentralized finance (DeFi) and check out a decentralized exchange (DEX). Simply put, an exchange is a place where buyers and sellers of tokens can meet up to perform an exchange (no pun intended). However, there are some big differences between a DEX and a CEX, so let’s break down some of the key differentiators. <br/><br/> Whereas a CEX typically consists of a centralized power structure (think of SBF running FTX or CZ running Binance), a DEX can be composed of an entirely anonymous team. Heck, nobody to this day knows the identity of Sushiswap’s Chef Nomi. <br/><br/> While a CEX might have more going on behind the scenes, in an office or board room, a DEX is stationed on the blockchain, operating under a true peer-to-peer system. Uniswap and Sushiwap are two examples of popular decentralized exchanges, offering a vast selection of coins often unavailable on a CEX and an easy to use frontend. While a DEX operates based on smart contracts created by the team, they are fairly intuitive to the crypto-native individual.<br/><br/> On a DEX, users can choose to trade how they wish, with functionality to adjust settings like slippage or gas fees for your swaps. Another huge benefit of using a DEX is the ability to operate cross-chain. While a CEX offers a simple frontend that shows you all of the possible coins to buy, there isn’t an option to operate on a specific blockchain you desire. There are fees that come with transacting on a CEX, and while they can vary, are often pretty straightforward and subject to little variation. <br/><br/> On a DEX, the possibilities are much more vast. If you’re on Uniswap, you can choose to trade on Ethereum, Avalanche, Binance Smart Chain and more networks, offering even more coins and trading opportunities. While both types of exchanges operate in similar  ways, there are more ways to interact on a DEX, which is often the go-to place to trade for the crypto-native. Sure, it’s easier for someone new to crypto to hop onto a CEX, verify their identity and buy some coins, but in the long term many would like to see DEX volume make up the entire market. <br/><br/> It’s important to have options when it comes to trading, which is why you should weigh the pros and cons of these exchanges before you try them. Even if you make the wrong decision, you can always send money from one to the other pretty easily - that’s just one of the benefits of blockchain tech. Happy trading!",skill,defi enjoyer,trading
53,"Understand staking, LPing and IL (DONE - don't write this one)",,skill,defi enjoyer,trading
54,Attend a Cryptocurrency event or hackathon (see events in db),,skill,defi enjoyer,culture
55,How tokens are architected,,skill,degen,technology
56,How to Deconstruct a cryptocurrency Security protocol and analyse its security vulnerabilities ,,skill,degen,security
57,The security architecture of popular Cryptocurrencies ,,skill,degen,security
